"","senator","seniority_date","term","party","state","dob"
"1468","Richard Blumenthal","January 3, 2011",114,"Democratic","Connecticut","1946-02-13"
"1469","Mike Lee","January 3, 2011",114,"Republican","Utah","1971-06-04"
"1470","Kelly Ayotte","January 3, 2011",114,"Republican","New Hampshire","1968-06-27"
"1471","Dean Heller","May 9, 2011",114,"Republican","Nevada","1960-05-10"
"1472","Brian Schatz","December 27, 2012",114,"Democratic","Hawaii","1972-10-20"
"1473","Tim Scott","January 2, 2013",114,"Republican","South Carolina","1965-09-19"
"1474","Tammy Baldwin","January 3, 2013",114,"Democratic","Wisconsin","1962-02-11"
"1475","Jeff Flake","January 3, 2013",114,"Republican","Arizona","1962-12-31"
"1476","Joe Donnelly","January 3, 2013",114,"Democratic","Indiana","1955-09-29"
"1477","Chris Murphy","January 3, 2013",114,"Democratic","Connecticut","1973-08-03"
"1478","Mazie Hirono","January 3, 2013",114,"Democratic","Hawaii","1947-11-03"
"1479","Martin Heinrich","January 3, 2013",114,"Democratic","New Mexico","1971-10-17"
"1480","Angus King","January 3, 2013",114,"Independent","Maine","1944-03-31"
"1481","Tim Kaine","January 3, 2013",114,"Democratic","Virginia","1958-02-26"
"1482","Ted Cruz","January 3, 2013",114,"Republican","Texas","1970-12-22"
"1483","Elizabeth Warren","January 3, 2013",114,"Democratic","Massachusetts","1949-06-22"
"1484","Deb Fischer","January 3, 2013",114,"Republican","Nebraska","1951-03-01"
"1485","Heidi Heitkamp","January 3, 2013",114,"Democratic","North Dakota","1955-10-30"
"1486","Ed Markey","July 16, 2013",114,"Democratic","Massachusetts","1946-07-11"
"1487","Cory Booker","October 31, 2013",114,"Democratic","New Jersey","1969-04-27"
"1488","Shelley Moore Capito","January 3, 2015",114,"Republican","West Virginia","1953-11-26"
"1489","Gary Peters","January 3, 2015",114,"Democratic","Michigan","1958-12-01"
"1490","Bill Cassidy","January 3, 2015",114,"Republican","Louisiana","1957-09-28"
"1491","Cory Gardner","January 3, 2015",114,"Republican","Colorado","1974-08-22"
"1492","James Lankford","January 3, 2015",114,"Republican","Oklahoma","1968-03-04"
"1493","Tom Cotton","January 3, 2015",114,"Republican","Arkansas","1977-05-13"
"1494","Steve Daines","January 3, 2015",114,"Republican","Montana","1962-08-20"
"1495","Mike Rounds","January 3, 2015",114,"Republican","South Dakota","1954-10-24"
"1496","David Perdue","January 3, 2015",114,"Republican","Georgia","1949-12-10"
"1497","Thom Tillis","January 3, 2015",114,"Republican","North Carolina","1960-08-30"
"1498","Joni Ernst","January 3, 2015",114,"Republican","Iowa","1970-07-01"
"1499","Ben Sasse","January 3, 2015",114,"Republican","Nebraska","1972-02-22"
"1500","Dan Sullivan","January 3, 2015",114,"Republican","Alaska","1964-11-13"
"1501","Patrick Leahy","January 3, 1975",115,"Democratic","Vermont","1940-03-31"
"1502","Orrin Hatch","January 3, 1977",115,"Republican","Utah","1934-03-22"
"1503","Thad Cochran","December 27, 1978",115,"Republican","Mississippi","1937-12-07"
"1504","Chuck Grassley","January 3, 1981",115,"Republican","Iowa","1933-09-17"
"1505","Mitch McConnell","January 3, 1985",115,"Republican","Kentucky","1942-02-20"
"1506","Richard Shelby","January 3, 1987",115,"Republican","Alabama","1934-05-06"
"1507","John McCain","January 3, 1987",115,"Republican","Arizona","1936-08-29"
"1508","Dianne Feinstein","November 10, 1992",115,"Democratic","California","1933-06-22"
"1509","Patty Murray","January 3, 1993",115,"Democratic","Washington","1950-10-11"
"1510","Jim Inhofe","November 17, 1994",115,"Republican","Oklahoma","1934-11-17"
"1511","Ron Wyden","February 6, 1996",115,"Democratic","Oregon","1949-05-03"
"1512","Pat Roberts","January 3, 1997",115,"Republican","Kansas","1936-04-20"
"1513","Dick Durbin","January 3, 1997",115,"Democratic","Illinois","1944-11-21"
"1514","Jack Reed","January 3, 1997",115,"Democratic","Rhode Island","1949-11-12"
"1515","Jeff Sessions","January 3, 1997",115,"Republican","Alabama","1946-12-24"
"1516","Susan Collins","January 3, 1997",115,"Republican","Maine","1952-12-07"
"1517","Mike Enzi","January 3, 1997",115,"Republican","Wyoming","1944-02-01"
"1518","Chuck Schumer","January 3, 1999",115,"Democratic","New York","1950-11-23"
"1519","Mike Crapo","January 3, 1999",115,"Republican","Idaho","1951-05-20"
"1520","Bill Nelson","January 3, 2001",115,"Democratic","Florida","1942-09-29"
"1521","Tom Carper","January 3, 2001",115,"Democratic","Delaware","1947-01-23"
"1522","Debbie Stabenow","January 3, 2001",115,"Democratic","Michigan","1950-04-29"
"1523","Maria Cantwell","January 3, 2001",115,"Democratic","Washington","1958-10-13"
"1524","John Cornyn","December 1, 2002",115,"Republican","Texas","1952-02-02"
"1525","Lisa Murkowski","December 20, 2002",115,"Republican","Alaska","1957-05-22"
"1526","Lindsey Graham","January 3, 2003",115,"Republican","South Carolina","1955-07-09"
"1527","Lamar Alexander","January 3, 2003",115,"Republican","Tennessee","1940-07-03"
"1528","Richard Burr","January 3, 2005",115,"Republican","North Carolina","1955-11-30"
"1529","John Thune","January 3, 2005",115,"Republican","South Dakota","1961-01-07"
"1530","Johnny Isakson","January 3, 2005",115,"Republican","Georgia","1944-12-28"
"1531","Bob Menendez","January 18, 2006",115,"Democratic","New Jersey","1954-01-01"
"1532","Ben Cardin","January 3, 2007",115,"Democratic","Maryland","1943-10-05"
"1533","Bernie Sanders","January 3, 2007",115,"Independent","Vermont","1941-09-08"
"1534","Sherrod Brown","January 3, 2007",115,"Democratic","Ohio","1952-11-09"
"1535","Bob Casey, Jr.","January 3, 2007",115,"Democratic","Pennsylvania","1960-04-13"
"1536","Bob Corker","January 3, 2007",115,"Republican","Tennessee","1952-08-24"
"1537","Claire McCaskill","January 3, 2007",115,"Democratic","Missouri","1953-07-24"
"1538","Amy Klobuchar","January 3, 2007",115,"Democratic","Minnesota","1960-05-25"
"1539","Sheldon Whitehouse","January 3, 2007",115,"Democratic","Rhode Island","1955-10-20"
"1540","Jon Tester","January 3, 2007",115,"Democratic","Montana","1956-08-21"
"1541","John Barrasso","June 25, 2007",115,"Republican","Wyoming","1952-07-21"
"1542","Roger Wicker","December 31, 2007",115,"Republican","Mississippi","1951-07-05"
"1543","Tom Udall","January 3, 2009",115,"Democratic","New Mexico","1948-05-18"
"1544","Jeanne Shaheen","January 3, 2009",115,"Democratic","New Hampshire","1947-01-28"
"1545","Mark Warner","January 3, 2009",115,"Democratic","Virginia","1954-12-15"
"1546","Jim Risch","January 3, 2009",115,"Republican","Idaho","1943-05-03"
"1547","Jeff Merkley","January 3, 2009",115,"Democratic","Oregon","1956-10-24"
"1548","Michael Bennet","January 21, 2009",115,"Democratic","Colorado","1964-11-28"
"1549","Kirsten Gillibrand","January 26, 2009",115,"Democratic","New York","1966-12-09"
"1550","Al Franken","July 7, 2009",115,"Democratic","Minnesota","1951-05-21"
"1551","Joe Manchin","November 15, 2010",115,"Democratic","West Virginia","1947-08-24"
"1552","Chris Coons","November 15, 2010",115,"Democratic","Delaware","1963-09-09"
"1553","Roy Blunt","January 3, 2011",115,"Republican","Missouri","1950-01-10"
"1554","Jerry Moran","January 3, 2011",115,"Republican","Kansas","1954-05-29"
"1555","Rob Portman","January 3, 2011",115,"Republican","Ohio","1955-12-19"
"1556","John Boozman","January 3, 2011",115,"Republican","Arkansas","1950-12-10"
"1557","Pat Toomey","January 3, 2011",115,"Republican","Pennsylvania","1961-11-17"
"1558","John Hoeven","January 3, 2011",115,"Republican","North Dakota","1957-03-13"
"1559","Marco Rubio","January 3, 2011",115,"Republican","Florida","1971-05-28"
"1560","Ron Johnson","January 3, 2011",115,"Republican","Wisconsin","1955-04-08"
"1561","Rand Paul","January 3, 2011",115,"Republican","Kentucky","1963-01-07"
"1562","Richard Blumenthal","January 3, 2011",115,"Democratic","Connecticut","1946-02-13"
"1563","Mike Lee","January 3, 2011",115,"Republican","Utah","1971-06-04"
"1564","Dean Heller","May 9, 2011",115,"Republican","Nevada","1960-05-10"
"1565","Brian Schatz","December 27, 2012",115,"Democratic","Hawaii","1972-10-20"
"1566","Tim Scott","January 2, 2013",115,"Republican","South Carolina","1965-09-19"
"1567","Tammy Baldwin","January 3, 2013",115,"Democratic","Wisconsin","1962-02-11"
"1568","Jeff Flake","January 3, 2013",115,"Republican","Arizona","1962-12-31"
"1569","Joe Donnelly","January 3, 2013",115,"Democratic","Indiana","1955-09-29"
"1570","Chris Murphy","January 3, 2013",115,"Democratic","Connecticut","1973-08-03"
"1571","Mazie Hirono","January 3, 2013",115,"Democratic","Hawaii","1947-11-03"
"1572","Martin Heinrich","January 3, 2013",115,"Democratic","New Mexico","1971-10-17"
"1573","Angus King","January 3, 2013",115,"Independent","Maine","1944-03-31"
"1574","Tim Kaine","January 3, 2013",115,"Democratic","Virginia","1958-02-26"
"1575","Ted Cruz","January 3, 2013",115,"Republican","Texas","1970-12-22"
"1576","Elizabeth Warren","January 3, 2013",115,"Democratic","Massachusetts","1949-06-22"
"1577","Deb Fischer","January 3, 2013",115,"Republican","Nebraska","1951-03-01"
"1578","Heidi Heitkamp","January 3, 2013",115,"Democratic","North Dakota","1955-10-30"
"1579","Ed Markey","July 16, 2013",115,"Democratic","Massachusetts","1946-07-11"
"1580","Cory Booker","October 31, 2013",115,"Democratic","New Jersey","1969-04-27"
"1581","Shelley Moore Capito","January 3, 2015",115,"Republican","West Virginia","1953-11-26"
"1582","Gary Peters","January 3, 2015",115,"Democratic","Michigan","1958-12-01"
"1583","Bill Cassidy","January 3, 2015",115,"Republican","Louisiana","1957-09-28"
"1584","Cory Gardner","January 3, 2015",115,"Republican","Colorado","1974-08-22"
"1585","James Lankford","January 3, 2015",115,"Republican","Oklahoma","1968-03-04"
"1586","Tom Cotton","January 3, 2015",115,"Republican","Arkansas","1977-05-13"
"1587","Steve Daines","January 3, 2015",115,"Republican","Montana","1962-08-20"
"1588","Mike Rounds","January 3, 2015",115,"Republican","South Dakota","1954-10-24"
"1589","David Perdue","January 3, 2015",115,"Republican","Georgia","1949-12-10"
"1590","Thom Tillis","January 3, 2015",115,"Republican","North Carolina","1960-08-30"
"1591","Joni Ernst","January 3, 2015",115,"Republican","Iowa","1970-07-01"
"1592","Ben Sasse","January 3, 2015",115,"Republican","Nebraska","1972-02-22"
"1593","Dan Sullivan","January 3, 2015",115,"Republican","Alaska","1964-11-13"
"1594","Chris Van Hollen","January 3, 2017",115,"Democratic","Maryland","1959-01-10"
"1595","Todd Young","January 3, 2017",115,"Republican","Indiana","1972-08-24"
"1596","Tammy Duckworth","January 3, 2017",115,"Democratic","Illinois","1968-03-12"
"1597","Maggie Hassan","January 3, 2017",115,"Democratic","New Hampshire","1958-02-27"
"1598","Kamala Harris","January 3, 2017",115,"Democratic","California","1964-10-20"
"1599","John Neely Kennedy","January 3, 2017",115,"Republican","Louisiana","1951-11-21"
"1600","Catherine Cortez Masto","January 3, 2017",115,"Democratic","Nevada","1964-03-29"
"1601","Patrick Leahy","January 3, 1975",116,"Democratic","Vermont","1940-03-31"
"1602","Chuck Grassley","January 3, 1981",116,"Republican","Iowa","1933-09-17"
"1603","Mitch McConnell","January 3, 1985",116,"Republican","Kentucky","1942-02-20"
"1604","Richard Shelby","January 3, 1987",116,"Republican","Alabama","1934-05-06"
"1605","Dianne Feinstein","November 10, 1992",116,"Democratic","California","1933-06-22"
"1606","Patty Murray","January 3, 1993",116,"Democratic","Washington","1950-10-11"
"1607","Jim Inhofe","November 17, 1994",116,"Republican","Oklahoma","1934-11-17"
"1608","Ron Wyden","February 6, 1996",116,"Democratic","Oregon","1949-05-03"
"1609","Pat Roberts","January 3, 1997",116,"Republican","Kansas","1936-04-20"
"1610","Dick Durbin","January 3, 1997",116,"Democratic","Illinois","1944-11-21"
"1611","Jack Reed","January 3, 1997",116,"Democratic","Rhode Island","1949-11-12"
"1612","Susan Collins","January 3, 1997",116,"Republican","Maine","1952-12-07"
"1613","Mike Enzi","January 3, 1997",116,"Republican","Wyoming","1944-02-01"
"1614","Chuck Schumer","January 3, 1999",116,"Democratic","New York","1950-11-23"
"1615","Mike Crapo","January 3, 1999",116,"Republican","Idaho","1951-05-20"
"1616","Tom Carper","January 3, 2001",116,"Democratic","Delaware","1947-01-23"
"1617","Debbie Stabenow","January 3, 2001",116,"Democratic","Michigan","1950-04-29"
"1618","Maria Cantwell","January 3, 2001",116,"Democratic","Washington","1958-10-13"
"1619","John Cornyn","December 1, 2002",116,"Republican","Texas","1952-02-02"
"1620","Lisa Murkowski","December 20, 2002",116,"Republican","Alaska","1957-05-22"
"1621","Lindsey Graham","January 3, 2003",116,"Republican","South Carolina","1955-07-09"
"1622","Lamar Alexander","January 3, 2003",116,"Republican","Tennessee","1940-07-03"
"1623","Richard Burr","January 3, 2005",116,"Republican","North Carolina","1955-11-30"
"1624","John Thune","January 3, 2005",116,"Republican","South Dakota","1961-01-07"
"1625","Johnny Isakson","January 3, 2005",116,"Republican","Georgia","1944-12-28"
"1626","Bob Menendez","January 18, 2006",116,"Democratic","New Jersey","1954-01-01"
"1627","Ben Cardin","January 3, 2007",116,"Democratic","Maryland","1943-10-05"
"1628","Bernie Sanders","January 3, 2007",116,"Independent","Vermont","1941-09-08"
"1629","Sherrod Brown","January 3, 2007",116,"Democratic","Ohio","1952-11-09"
"1630","Bob Casey Jr.","January 3, 2007",116,"Democratic","Pennsylvania","1960-04-13"
"1631","Amy Klobuchar","January 3, 2007",116,"Democratic","Minnesota","1960-05-25"
"1632","Sheldon Whitehouse","January 3, 2007",116,"Democratic","Rhode Island","1955-10-20"
"1633","Jon Tester","January 3, 2007",116,"Democratic","Montana","1956-08-21"
"1634","John Barrasso","June 25, 2007",116,"Republican","Wyoming","1952-07-21"
"1635","Roger Wicker","December 31, 2007",116,"Republican","Mississippi","1951-07-05"
"1636","Tom Udall","January 3, 2009",116,"Democratic","New Mexico","1948-05-18"
"1637","Jeanne Shaheen","January 3, 2009",116,"Democratic","New Hampshire","1947-01-28"
"1638","Mark Warner","January 3, 2009",116,"Democratic","Virginia","1954-12-15"
"1639","Jim Risch","January 3, 2009",116,"Republican","Idaho","1943-05-03"
"1640","Jeff Merkley","January 3, 2009",116,"Democratic","Oregon","1956-10-24"
"1641","Michael Bennet","January 21, 2009",116,"Democratic","Colorado","1964-11-28"
"1642","Kirsten Gillibrand","January 26, 2009",116,"Democratic","New York","1966-12-09"
"1643","Joe Manchin","November 15, 2010",116,"Democratic","West Virginia","1947-08-24"
"1644","Chris Coons","November 15, 2010",116,"Democratic","Delaware","1963-09-09"
"1645","Roy Blunt","January 3, 2011",116,"Republican","Missouri","1950-01-10"
"1646","Jerry Moran","January 3, 2011",116,"Republican","Kansas","1954-05-29"
"1647","Rob Portman","January 3, 2011",116,"Republican","Ohio","1955-12-19"
"1648","John Boozman","January 3, 2011",116,"Republican","Arkansas","1950-12-10"
"1649","Pat Toomey","January 3, 2011",116,"Republican","Pennsylvania","1961-11-17"
"1650","John Hoeven","January 3, 2011",116,"Republican","North Dakota","1957-03-13"
"1651","Marco Rubio","January 3, 2011",116,"Republican","Florida","1971-05-28"
"1652","Ron Johnson","January 3, 2011",116,"Republican","Wisconsin","1955-04-08"
"1653","Rand Paul","January 3, 2011",116,"Republican","Kentucky","1963-01-07"
"1654","Richard Blumenthal","January 3, 2011",116,"Democratic","Connecticut","1946-02-13"
"1655","Mike Lee","January 3, 2011",116,"Republican","Utah","1971-06-04"
"1656","Brian Schatz","December 27, 2012",116,"Democratic","Hawaii","1972-10-20"
"1657","Tim Scott","January 2, 2013",116,"Republican","South Carolina","1965-09-19"
"1658","Tammy Baldwin","January 3, 2013",116,"Democratic","Wisconsin","1962-02-11"
"1659","Chris Murphy","January 3, 2013",116,"Democratic","Connecticut","1973-08-03"
"1660","Mazie Hirono","January 3, 2013",116,"Democratic","Hawaii","1947-11-03"
"1661","Martin Heinrich","January 3, 2013",116,"Democratic","New Mexico","1971-10-17"
"1662","Angus King","January 3, 2013",116,"Independent","Maine","1944-03-31"
"1663","Tim Kaine","January 3, 2013",116,"Democratic","Virginia","1958-02-26"
"1664","Ted Cruz","January 3, 2013",116,"Republican","Texas","1970-12-22"
"1665","Elizabeth Warren","January 3, 2013",116,"Democratic","Massachusetts","1949-06-22"
"1666","Deb Fischer","January 3, 2013",116,"Republican","Nebraska","1951-03-01"
"1667","Ed Markey","July 16, 2013",116,"Democratic","Massachusetts","1946-07-11"
"1668","Cory Booker","October 31, 2013",116,"Democratic","New Jersey","1969-04-27"
"1669","Shelley Moore Capito","January 3, 2015",116,"Republican","West Virginia","1953-11-26"
"1670","Gary Peters","January 3, 2015",116,"Democratic","Michigan","1958-12-01"
"1671","Bill Cassidy","January 3, 2015",116,"Republican","Louisiana","1957-09-28"
"1672","Cory Gardner","January 3, 2015",116,"Republican","Colorado","1974-08-22"
"1673","James Lankford","January 3, 2015",116,"Republican","Oklahoma","1968-03-04"
"1674","Tom Cotton","January 3, 2015",116,"Republican","Arkansas","1977-05-13"
"1675","Steve Daines","January 3, 2015",116,"Republican","Montana","1962-08-20"
"1676","Mike Rounds","January 3, 2015",116,"Republican","South Dakota","1954-10-24"
"1677","David Perdue","January 3, 2015",116,"Republican","Georgia","1949-12-10"
"1678","Thom Tillis","January 3, 2015",116,"Republican","North Carolina","1960-08-30"
"1679","Joni Ernst","January 3, 2015",116,"Republican","Iowa","1970-07-01"
"1680","Ben Sasse","January 3, 2015",116,"Republican","Nebraska","1972-02-22"
"1681","Dan Sullivan","January 3, 2015",116,"Republican","Alaska","1964-11-13"
"1682","Chris Van Hollen","January 3, 2017",116,"Democratic","Maryland","1959-01-10"
"1683","Todd Young","January 3, 2017",116,"Republican","Indiana","1972-08-24"
"1684","Tammy Duckworth","January 3, 2017",116,"Democratic","Illinois","1968-03-12"
"1685","Maggie Hassan","January 3, 2017",116,"Democratic","New Hampshire","1958-02-27"
"1686","Kamala Harris","January 3, 2017",116,"Democratic","California","1964-10-20"
"1687","John Neely Kennedy","January 3, 2017",116,"Republican","Louisiana","1951-11-21"
"1688","Catherine Cortez Masto","January 3, 2017",116,"Democratic","Nevada","1964-03-29"
"1689","Tina Smith","January 3, 2018",116,"Democratic","Minnesota","1958-03-04"
"1690","Doug Jones","January 3, 2018",116,"Democratic","Alabama","1954-05-04"
"1691","Cindy Hyde-Smith","April 2, 2018",116,"Republican","Mississippi","1959-05-10"
"1692","Marsha Blackburn","January 3, 2019",116,"Republican","Tennessee","1952-06-06"
"1693","Kyrsten Sinema","January 3, 2019",116,"Democratic","Arizona","1976-07-12"
"1694","Kevin Cramer","January 3, 2019",116,"Republican","North Dakota","1961-01-21"
"1695","Martha McSally","January 3, 2019",116,"Republican","Arizona","1966-03-22"
"1696","Jacky Rosen","January 3, 2019",116,"Democratic","Nevada","1957-08-02"
"1697","Mitt Romney","January 3, 2019",116,"Republican","Utah","1947-03-12"
"1698","Mike Braun","January 3, 2019",116,"Republican","Indiana","1954-03-24"
"1699","Josh Hawley","January 3, 2019",116,"Republican","Missouri","1979-12-31"
"1700","Rick Scott","January 8, 2019",116,"Republican","Florida","1952-12-01"
"1701","Patrick Leahy","January 3, 1975",117,"Democratic","Vermont","1940-03-31"
"1702","Chuck Grassley","January 3, 1981",117,"Republican","Iowa","1933-09-17"
"1703","Mitch McConnell","January 3, 1985",117,"Republican","Kentucky","1942-02-20"
"1704","Richard Shelby","January 3, 1987",117,"Republican","Alabama","1934-05-06"
"1705","Dianne Feinstein","November 10, 1992",117,"Democratic","California","1933-06-22"
"1706","Patty Murray","January 3, 1993",117,"Democratic","Washington","1950-10-11"
"1707","Jim Inhofe","November 17, 1994",117,"Republican","Oklahoma","1934-11-17"
"1708","Ron Wyden","February 6, 1996",117,"Democratic","Oregon","1949-05-03"
"1709","Dick Durbin","January 3, 1997",117,"Democratic","Illinois","1944-11-21"
"1710","Jack Reed","January 3, 1997",117,"Democratic","Rhode Island","1949-11-12"
"1711","Susan Collins","January 3, 1997",117,"Republican","Maine","1952-12-07"
"1712","Chuck Schumer","January 3, 1999",117,"Democratic","New York","1950-11-23"
"1713","Mike Crapo","January 3, 1999",117,"Republican","Idaho","1951-05-20"
"1714","Tom Carper","January 3, 2001",117,"Democratic","Delaware","1947-01-23"
"1715","Debbie Stabenow","January 3, 2001",117,"Democratic","Michigan","1950-04-29"
"1716","Maria Cantwell","January 3, 2001",117,"Democratic","Washington","1958-10-13"
"1717","John Cornyn","December 1, 2002",117,"Republican","Texas","1952-02-02"
"1718","Lisa Murkowski","December 20, 2002",117,"Republican","Alaska","1957-05-22"
"1719","Lindsey Graham","January 3, 2003",117,"Republican","South Carolina","1955-07-09"
"1720","Richard Burr","January 3, 2005",117,"Republican","North Carolina","1955-11-30"
"1721","John Thune","January 3, 2005",117,"Republican","South Dakota","1961-01-07"
"1722","Bob Menendez","January 18, 2006",117,"Democratic","New Jersey","1954-01-01"
"1723","Ben Cardin","January 3, 2007",117,"Democratic","Maryland","1943-10-05"
"1724","Bernie Sanders","January 3, 2007",117,"Independent[10]","Vermont","1941-09-08"
"1725","Sherrod Brown","January 3, 2007",117,"Democratic","Ohio","1952-11-09"
"1726","Bob Casey, Jr.","January 3, 2007",117,"Democratic","Pennsylvania","1960-04-13"
"1727","Amy Klobuchar","January 3, 2007",117,"Democratic","Minnesota","1960-05-25"
"1728","Sheldon Whitehouse","January 3, 2007",117,"Democratic","Rhode Island","1955-10-20"
"1729","Jon Tester","January 3, 2007",117,"Democratic","Montana","1956-08-21"
"1730","John Barrasso","June 25, 2007",117,"Republican","Wyoming","1952-07-21"
"1731","Roger Wicker","December 31, 2007",117,"Republican","Mississippi","1951-07-05"
"1732","Jeanne Shaheen","January 3, 2009",117,"Democratic","New Hampshire","1947-01-28"
"1733","Mark Warner","January 3, 2009",117,"Democratic","Virginia","1954-12-15"
"1734","Jim Risch","January 3, 2009",117,"Republican","Idaho","1943-05-03"
"1735","Jeff Merkley","January 3, 2009",117,"Democratic","Oregon","1956-10-24"
"1736","Michael Bennet","January 21, 2009",117,"Democratic","Colorado","1964-11-28"
"1737","Kirsten Gillibrand","January 26, 2009",117,"Democratic","New York","1966-12-09"
"1738","Joe Manchin","November 15, 2010",117,"Democratic","West Virginia","1947-08-24"
"1739","Chris Coons","November 15, 2010",117,"Democratic","Delaware","1963-09-09"
"1740","Roy Blunt","January 3, 2011",117,"Republican","Missouri","1950-01-10"
"1741","Jerry Moran","January 3, 2011",117,"Republican","Kansas","1954-05-29"
"1742","Rob Portman","January 3, 2011",117,"Republican","Ohio","1955-12-19"
"1743","John Boozman","January 3, 2011",117,"Republican","Arkansas","1950-12-10"
"1744","Pat Toomey","January 3, 2011",117,"Republican","Pennsylvania","1961-11-17"
"1745","John Hoeven","January 3, 2011",117,"Republican","North Dakota","1957-03-13"
"1746","Marco Rubio","January 3, 2011",117,"Republican","Florida","1971-05-28"
"1747","Ron Johnson","January 3, 2011",117,"Republican","Wisconsin","1955-04-08"
"1748","Rand Paul","January 3, 2011",117,"Republican","Kentucky","1963-01-07"
"1749","Richard Blumenthal","January 3, 2011",117,"Democratic","Connecticut","1946-02-13"
"1750","Mike Lee","January 3, 2011",117,"Republican","Utah","1971-06-04"
"1751","Brian Schatz","December 27, 2012",117,"Democratic","Hawaii","1972-10-20"
"1752","Tim Scott","January 2, 2013",117,"Republican","South Carolina","1965-09-19"
"1753","Tammy Baldwin","January 3, 2013",117,"Democratic","Wisconsin","1962-02-11"
"1754","Chris Murphy","January 3, 2013",117,"Democratic","Connecticut","1973-08-03"
"1755","Mazie Hirono","January 3, 2013",117,"Democratic","Hawaii","1947-11-03"
"1756","Martin Heinrich","January 3, 2013",117,"Democratic","New Mexico","1971-10-17"
"1757","Angus King","January 3, 2013",117,"Independent","Maine","1944-03-31"
"1758","Tim Kaine","January 3, 2013",117,"Democratic","Virginia","1958-02-26"
"1759","Ted Cruz","January 3, 2013",117,"Republican","Texas","1970-12-22"
"1760","Elizabeth Warren","January 3, 2013",117,"Democratic","Massachusetts","1949-06-22"
"1761","Deb Fischer","January 3, 2013",117,"Republican","Nebraska","1951-03-01"
"1762","Ed Markey","July 16, 2013",117,"Democratic","Massachusetts","1946-07-11"
"1763","Cory Booker","October 31, 2013",117,"Democratic","New Jersey","1969-04-27"
"1764","Shelley Moore Capito","January 3, 2015",117,"Republican","West Virginia","1953-11-26"
"1765","Gary Peters","January 3, 2015",117,"Democratic","Michigan","1958-12-01"
"1766","Bill Cassidy","January 3, 2015",117,"Republican","Louisiana","1957-09-28"
"1767","James Lankford","January 3, 2015",117,"Republican","Oklahoma","1968-03-04"
"1768","Tom Cotton","January 3, 2015",117,"Republican","Arkansas","1977-05-13"
"1769","Steve Daines","January 3, 2015",117,"Republican","Montana","1962-08-20"
"1770","Mike Rounds","January 3, 2015",117,"Republican","South Dakota","1954-10-24"
"1771","Thom Tillis","January 3, 2015",117,"Republican","North Carolina","1960-08-30"
"1772","Joni Ernst","January 3, 2015",117,"Republican","Iowa","1970-07-01"
"1773","Ben Sasse","January 3, 2015",117,"Republican","Nebraska","1972-02-22"
"1774","Dan Sullivan","January 3, 2015",117,"Republican","Alaska","1964-11-13"
"1775","Chris Van Hollen","January 3, 2017",117,"Democratic","Maryland","1959-01-10"
"1776","Todd Young","January 3, 2017",117,"Republican","Indiana","1972-08-24"
"1777","Tammy Duckworth","January 3, 2017",117,"Democratic","Illinois","1968-03-12"
"1778","Maggie Hassan","January 3, 2017",117,"Democratic","New Hampshire","1958-02-27"
"1779","Kamala Harris","January 3, 2017",117,"Democratic","California","1964-10-20"
"1780","John Neely Kennedy","January 3, 2017",117,"Republican","Louisiana","1951-11-21"
"1781","Catherine Cortez Masto","January 3, 2017",117,"Democratic","Nevada","1964-03-29"
"1782","Tina Smith","January 3, 2018",117,"Democratic","Minnesota","1958-03-04"
"1783","Cindy Hyde-Smith","April 2, 2018",117,"Republican","Mississippi","1959-05-10"
"1784","Marsha Blackburn","January 3, 2019",117,"Republican","Tennessee","1952-06-06"
"1785","Kyrsten Sinema","January 3, 2019",117,"Democratic","Arizona","1976-07-12"
"1786","Kevin Cramer","January 3, 2019",117,"Republican","North Dakota","1961-01-21"
"1787","Jacky Rosen","January 3, 2019",117,"Democratic","Nevada","1957-08-02"
"1788","Mitt Romney","January 3, 2019",117,"Republican","Utah","1947-03-12"
"1789","Mike Braun","January 3, 2019",117,"Republican","Indiana","1954-03-24"
"1790","Josh Hawley","January 3, 2019",117,"Republican","Missouri","1979-12-31"
"1791","Rick Scott","January 8, 2019",117,"Republican","Florida","1952-12-01"
"1792","Kelly Loeffler","January 6, 2020",117,"Republican","Georgia","1970-11-27"
"1793","Mark Kelly","December 2, 2020",117,"Democratic","Arizona","1964-02-21"
"1794","Ben Ray Luján","January 3, 2021",117,"Democratic","New Mexico","1972-06-07"
"1795","Cynthia Lummis","January 3, 2021",117,"Republican","Wyoming","1954-09-10"
"1796","Roger Marshall","January 3, 2021",117,"Republican","Kansas","1960-08-09"
"1797","John Hickenlooper","January 3, 2021",117,"Democratic","Colorado","1952-02-07"
"1798","Bill Hagerty","January 3, 2021",117,"Republican","Tennessee","1959-08-14"
"1799","Tommy Tuberville","January 3, 2021",117,"Republican","Alabama","1954-09-18"
"1800","Jon Ossoff","January 20, 2021",117,"Democratic","Georgia","1987-02-16"
"1801","Chuck Grassley","January 3, 1981",118,"Republican","Iowa","1933-09-17"
"1802","Mitch McConnell","January 3, 1985",118,"Republican","Kentucky","1942-02-20"
"1803","Dianne Feinstein","November 4, 1992",118,"Democratic","California","1933-06-22"
"1804","Patty Murray","January 3, 1993",118,"Democratic","Washington","1950-10-11"
"1805","Ron Wyden","February 5, 1996",118,"Democratic","Oregon","1949-05-03"
"1806","Dick Durbin","January 3, 1997",118,"Democratic","Illinois","1944-11-21"
